MID Number,Story
3551,"In response to Yugoslav involvement in Bosnian civil war, Western countries first showed force and then began a blockade against Yugoslavia. On 7/16/1992 there was a show of force by USA, UK, France, Germany, Greece, Turkey, Spain and Italy. The blockaded against Yugoslavia commences on 11/22/1992 with Belgium joining the states mentioned above. Netherlands joins the MID due to its assistance to the US and France by enforcing a No-Fly zone over Yugoslavia on 4/12/1339. End date is the end date of the Blockade"
3555,"This MID is the fighting between Yugoslavia and Croatia in Bosnia at the Bosnian and Croatian border. Eventually, the tensions and fighting eased as both turned their attention to Bosnia."
3556,The battle between Bosnia and Croatia (who had been allies) began with a dispute over a gas station.
3557,"This MID occurred in Bosnia as Yugoslav and Bosnian forces fought for control of Bosnian territory. Eventually, Yugoslavia bowed to international pressure and withdrew most of its troops from Bosnia. As that happened the bulk of the fighting turned to the militias, i.e. the Bosnian Serbs versus Bosnia. Since the Bosnian Serbs are not state actors their fights with Bosnia do not enter into this MID."
4001,"Twenty-two out of the twenty-five incidents in this dispute involve border area interactions between Thai and Cambodian troops. Cambodian troops engage Khmer Rouge guerillas on the border and shells land in Thailand, prompting return shelling by Thai forces. The last three incidents in this dispute involve fishing and naval vessels moving across territorial water boundaries, leading to clashes and a seizure."
4002,"This dispute involves a basic conflict between Myanmar (Burma) and Thailand over the use of Burmese/Thai border territory by Karen rebel forces operating against the Burmese government. In border fights with the Karen, Burmese government shelling often spills over into Thailand, and Burmese forces pursue Karen guerillas into Thai territory prompting a Thai military response. The issue of which side initiated the incidents is ambiguous in many of these cases. The areas of operation include the Karen base of Kawmoora in Burma, opposite the Thai village of Mae Sot, 240 miles north of Bangkok, and the Tak province, the Song Yang district of Thailand."
4003,"A peace agreement between the Shan warlord Khun Sa and the Burmese government results in Burmese troops occupying territory also claimed by Thailand. The warlord Khun Sa and his army provided a buffer between Thailand and Burma by holding the contested border territory. Subsequent to the peace agreement, Burmese troops move in the area and remain. The dispute takes place in Doi Lang, 672 km north of Bangkok."
4004,"Vietnamese troops move into six villages four to five km inside Cambodian territory, forcing the evacuation of the local population and digging fortifications. The area is the Suay Rieng province, Duong sub-district in Cambodia. Cambodia dispatches approximately 300 troops to block any further advance of Vietnamese forces. The occupied territory is claimed by both states."
4005,Repair crew from India working on the embankment of the Muhari River is fired upon by Bengali troops on the opposite riverbank. Indian border security forces return gunfire. The clash takes place in the Belonia subdivision of South Tripura (India) on the banks of the Muhari River bordering India and Bangladesh.
4006,"A possible military coup in Bangladesh is followed by an alert of regular Indian military forces and border security forces. Indian fears of refugees entering India are given as a possible reason for the alert. Border security forces on the frontiers of the Indian states of Assam, Meghalaya, Tripura, West Bengal, and Manipur on the India/Bangladesh border are placed on high alert."
4007,This dispute is related to the conflict between India and Pakistan over control of the contested territory of Kashmir that has existed since 1947. The territory was divided by force in 1948 and is a source of continuing hostility and violence in the relationship between the two states. This dispute is related to the conflict between India and Pakistan over control of the contested territory of Kashmir that has existed since 1947. The territory was divided by force in 1948 and is a source of continuing hostility and violence in the relationship between the two states.
4008,"Vietnamese patrol boats capture Thai fishing vessels while operating in waters claimed by both states. Subsequent to the approach of a Thai gunboat, an exchange of gunfire occurs between the Thai and Vietnamese naval vessels. The dispute occurs in the Gulf of Thailand, 138 nautical miles east of the southern Thai province of Songkhla."
4009,"The 1200 mile border between Colombia and Venezuela is not well marked, and has frequently been the scene of cross-border incidents involving Colombian guerrillas or drug traffickers and Venezuelan forces. For example, on February 26, 1995, 150-200 Colombian rebels attacked a Venezuelan naval post, killing eight soldiers and wounding four. Venezuelan President Caldera urged his Colombian counterpart Samper to punish those responsible for the attack; Samper expressed his condolences. In March, defense ministers from both sides met to discuss the problems along their common border, and both sides increased the number of troops on the border to stop the rebels. In October a series of drug related incidents occurred along the border. On October 8, 1995, Venezuelan national guardsmen harassed nine Colombian farmers on the Colombian side of the border. Venezuela admitted that the incident took place, but claimed that the Colombians were poppy farmers and the guardsmen had crossed the border in “hot pursuit.” Again in early October, Colombian authorities claimed that Venezuelan guardsmen killed and decapitated a Colombian farmer on Colombian territory; Venezuela responded that the farmer was growing poppy. Also in October, Venezuela arrested five Colombian men growing poppy on the Colombian side of the border. Colombian President Samper said it was unacceptable that Venezuelans crossed the border. Venezuela, on the other hand, claimed that they arrested the men on their side of the border. Finally, in November, 1995, both sides agreed to end the border dispute and mark the border with signposts."
4010,"Honduras and El Salvador had a long-running territorial claim that was submitted to the World Court. Following the Court’s 1992 that awarded Honduras some of the disputed territory, Honduras agreed not to militarize the area due to its predominantly Salvadoran population. In January of 1993, the Honduran army was reported to be militarizing the territory and setting up checkpoints by the residents of Nahuaterique. El Salvador sent a protest note to Honduras in February. A year later, on September 10, 1994, the Presidents of Honduras and El Salvador met to draw up a new border based on the 1992 World Court ruling. The negotiations ended with the creation of a commission. By November 1994 the Honduran Defense Minister announced that tensions on the border had decreased significantly. In December 1994, both countries agreed to complete the demarcation of some 50 kilometers of their border by February 1995. During the process El Salvador continued patrols on the border to prevent incidents."
4011,"In April 1995, following an agreement on their ongoing conflict over the territorial waters in the Gulf of Fonseca, Nicaraguan armed forces captured four Honduran fishing boats and eight fishermen; each side claimed that the Honduran fishermen were in its own territorial waters when arrested. The boats were brought to a nearby island by Nicaraguan authorities, followed by Honduran police and naval authorities. An armed skirmish took place, as Nicaragua initiated the fire and Honduras responded. Another naval clash occurred on May 31 as Honduran armed forces tried to prevent Nicaraguan armed forces from arresting Honduran fishermen in the Gulf of Fonseca, who were allegedly fishing in Nicaraguan waters. Nicaragua asked Honduras to intervene to prevent “future incidents.” Following this incident, a Nicaraguan officer was detained by Honduras while he was either standing guard over a captured Honduran fishing boat or trying to tow a captured fishing boat to port (reports vary). He was returned to Nicaragua on June 2, 1995, when Nicaragua released the fishermen they had arrested. In order to prevent armed Honduran fishermen from coming to their territorial waters, on June 13, 1995, the Nicaraguan navy reinforced its forces patrolling its territorial waters in the Gulf of Fonseca by transferring additional boats to the area and intensifying patrol operations. Later in the month (June 16), Honduras and Nicaragua agreed to start demarcating the waters of the Gulf of Fonseca with buoys, starting in the first week of July. In April 1995, following an agreement on their ongoing conflict over the territorial waters in the Gulf of Fonseca, Nicaraguan armed forces captured four Honduran fishing boats and eight fishermen; each side claimed that the Honduran fishermen were in its own territorial waters when arrested. The boats were brought to a nearby island by Nicaraguan authorities, followed by Honduran police and naval authorities. An armed skirmish took place, as Nicaragua initiated the fire and Honduras responded. Another naval clash occurred on May 31 as Honduran armed forces tried to prevent Nicaraguan armed forces from arresting Honduran fishermen in the Gulf of Fonseca, who were allegedly fishing in Nicaraguan waters. Nicaragua asked Honduras to intervene to prevent “future incidents.” Following this incident, a Nicaraguan officer was detained by Honduras while he was either standing guard over a captured Honduran fishing boat or trying to tow a captured fishing boat to port (reports vary). He was returned to Nicaragua on June 2, 1995, when Nicaragua released the fishermen they had arrested. In order to prevent armed Honduran fishermen from coming to their territorial waters, on June 13, 1995, the Nicaraguan navy reinforced its forces patrolling its territorial waters in the Gulf of Fonseca by transferring additional boats to the area and intensifying patrol operations. Later in the month (June 16), Honduras and Nicaragua agreed to start demarcating the waters of the Gulf of Fonseca with buoys, starting in the first week of July."
4012,"The ongoing conflict between Honduras and Nicaragua over maritime zones in the Caribbean Sea once again led to militarized incidents. During the weekend of December 16-17, 1995, a Nicaraguan coast guard cutter boarded four Honduran fishing boats and arrested 106 crewmen. In a shootout, which Nicaragua claimed that Hondurans initiated, a Nicaraguan sailor and a Honduran fisherman were wounded. Nicaragua released 94 of the fishermen few days later, but held twelve fishermen and eight Nicaraguan sailors for questioning. They also promised to investigate the incident and apologized to Honduran authorities (this apology is why this activity was not coded as a militarized incident). On December 22, 1995, Honduras threatened to open fire on any Nicaraguan patrol boats in the disputed waters. Nicaragua announced that it would continue patrols off Cape Gracias a Dios on Nicaragua’s northern Atlantic coast, and warned that its navy boats would fire back (this Nicaraguan warning is not coded as a separate incident because of the coding guideline covering threats to defend oneself if attacked)."
4013,"In the 19th century when the Spanish Empire broke up, countries in the region inherited borders based on vague or contradictory Spanish colonial maps. Peru and Ecuador fought a 10-day engagement over one such border in 1941, leading to a decisive Peruvian victory. The agreement that followed (the 1942 Rio de Janeiro Protocol) awarded Peru 70,000 square miles of Amazon jungle. In 1960, Ecuador renounced the treaty, focusing on a renewed claim to the Cordillera del Condor area -- a small area that is believed to be rich in oil and mineral reserves, and that would give Ecuador an access to Amazon basin. In early 1995 tensions rose on the border. On January 5, Ecuadorean Defense Minister Gallardo denied reports of clashes. Large-scale fighting soon broke out, though, following clashes between Peruvian and Ecuadorean patrols from January 9-11. These clashes soon escalated, and both sides mobilized and deployed large numbers of troops to the border area. Between January 26th and March 2nd, continual clashes involved Peruvian and Ecuadorean planes, helicopters and ground troops erupted. Several ceasefires in late January and February led to temporary reductions in the fighting, but each was soon followed by renewed combat, On February 24, the OAS warned both sides to stop hostilities. Another cease-fire, the Itamaraty Declaration, was signed in Uruguay on March 1st. The agreement called for the withdrawal of troops and the placement of observers from guarantor countries (Argentina, Brazil, Chile, and the United States). Guarantor countries asked for guarantees on ceasefire before placing their observers. On March 6, Peru started withdrawing its troops from the disputed area. Despite the ceasefire, additional incidents continued to occur throughout March. On April 26, Ecuador pulled out last 160 troops it had in the disputed area, and on July 25 the two sides agreed to demilitarize more than 200 square miles; only 50 lightly armed soldiers from each side would remain in the disputed area (although this agreement did not settle the border issue itself)."
4014,"Guatemala had long claimed the British colony of British Honduras (Belize) to be Guatemalan territory. This claim had become less intense over time, and Guatemala recognized Belize’s independence in 1991 (ten years after the fact). The claim returned to prominence, though, following Great Britain’s May 1993 announcement that it would close its last military base in Belize and remove its 1,500 soldiers. On July 20, 1993 Belize’s Esquivel government suspended a territorial accord that had been signed by his predecessor before it was formally ratified, claiming that the previous government had made too many concessions. Guatemalan residents along the border with Belize claimed that on October 15th Belizean soldiers made an incursion to Guatemala and destroyed $60,000 worth of corn and rice crops. Belize claimed that the soldiers were operating on Belizean soil; neither side’s story was immediately confirmed. As a response, on October 16th, the Guatemalan government dispatched 60 soldiers to the disputed border. No further incidents occurred in the immediate aftermath of the incursion. On March 31, 1994, Guatemala reasserted its claim on Belizean territory. By the end of 1994, both countries announced that they were ready to renegotiate."
4015,"Guatemala has continued to claim Belize’s territory even after recognized Belize’s independence in 1991 (ten years after the fact). Since 1991, Guatemala has been calling for a negotiated settlement for the access they want to the Caribbean. According to Guatemalan media, Belizean soldiers crossed the border to Guatemala on August 25, 1995 in the northern El Peten department. They threatened to destroy crops and evict peasant farmers in the hamlet of Monte de Olivos. Later, sometime around September 9 or 10, 1995, another incursion occurred. This time Guatemalan government said that Belizean soldiers entered Guatemala near the village of Los Olivos. Belizean troops burned a dwelling, destroyed some crops, and “terrified” farmers. As a result, on September 11, 1995 Guatemalan government asked Belize to exercise the “utmost caution” at the common border to avoid further incidents. Following two incidents on their border with Belize, Guatemala sent elite soldiers to the disputed border and organized local farmers to monitor the area. Officials said the moves were made to “guard against a new incursion,” a preventive measure to protect Guatemalan farmers against actions by the Belizean army. Guatemala has continued to claim Belize’s territory even after recognized Belize’s independence in 1991 (ten years after the fact). Since 1991, Guatemala has been calling for a negotiated settlement for the access they want to the Caribbean. According to Guatemalan media, Belizean soldiers crossed the border to Guatemala on August 25, 1995 in the northern El Peten department. They threatened to destroy crops and evict peasant farmers in the hamlet of Monte de Olivos. Later, sometime around September 9 or 10, 1995, another incursion occurred. This time Guatemalan government said that Belizean soldiers entered Guatemala near the village of Los Olivos. Belizean troops burned a dwelling, destroyed some crops, and “terrified” farmers. As a result, on September 11, 1995 Guatemalan government asked Belize to exercise the “utmost caution” at the common border to avoid further incidents. Following two incidents on their border with Belize, Guatemala sent elite soldiers to the disputed border and organized local farmers to monitor the area. Officials said the moves were made to “guard against a new incursion,” a preventive measure to protect Guatemalan farmers against actions by the Belizean army."
4016,"This dispute is comprised of a series of incidents generated by United States led efforts to restore the rule of Haitian President Aristide after he was deposed in a coup. The incidents begin with a naval blockade in October of 1993 where the United States was joined by a number of other nations (Argentina, Canada, the Dominican Republic, France, Haiti, the Netherlands, and the United Kingdom). As the blockade wore on, and the military junta led by General Cedras remained in place, the United States resorted to a number of threats of military action and displays of force. The dispute was resolved with the return of Aristide only after the intercession of US Special Envoy Jimmy Carter. An invasion force was in the air as the deal was brokered. "
4017,"Italy sent troops to its border with Slovenia. This border area had been used to smuggle arms, explosives and people across. The Italian government had uncovered evidence that there were links between Italian organized crime and the flow of weapons to Bosnia. But the immediate concern of the Italian government was that Bosnian Serb leaders had threatened retaliation against any country involved in NATO air strikes. Source: The New York Times. August 13, 1993, Friday, Late Edition – Final.SECTION: Section A; Page 8; Column 1; Foreign Desk. Narrative: Ric Stoll, 7/22/02."
4018,"Between January and April 1993, North Korea provoked a series of 42 incidents with Chinese border guards. Reports indicate that North Korean forces fired more than 700 bullets at Chinese forces. The 42 incidents are only reported vaguely and this dispute is really composed of one incident as a surrogate for those 42 incidents. These incidents occurred in the wake of a deterioration of PRK-China relations that included the suspension of flights between PRK & China and anti- Chinese broadcasts by PRK. This deterioration of relations began with the establishment of relations between China and South Korea."
4019,This dispute consisted of 1 incident in which a North Korean patrol boat fired at a Chinese fishing boat.
4020,"This dispute involved 6 incidents in which Taiwanese forces seized, boarded, and fired upon Chinese fishing vessels. In each case, China protested the Taiwanese actions. Although this dispute occurred concurrently with another China-Taiwan dispute, this dispute was coded separately because it involves a distinct set of issues. This dispute centers around Taiwanese efforts to intimidate Chinese fishermen. The concurrent dispute involves Chinese efforts to intimidate Taiwan away from moves toward independence. This dispute involved 6 incidents in which Taiwanese forces seized, boarded, and fired upon Chinese fishing vessels. In each case, China protested the Taiwanese actions. Although this dispute occurred concurrently with another China-Taiwan dispute, this dispute was coded separately because it involves a distinct set of issues. This dispute centers around Taiwanese efforts to intimidate Chinese fishermen. The concurrent dispute involves Chinese efforts to intimidate Taiwan away from moves toward independence."
4021,"In the wake of continued concern over the North Korean nuclear program, the US and South Korea began conducting joint exercises. North Korea threatened in March 1993 to withdraw from the nuclear non-proliferation treaty and ban inspections of its nuclear facilities. As a result, the US-ROK exercises, which were cancelled in the previous year, were conducted in 1993. In response, North Korea placed its forces on alert, declaring a ""semi-war footing."" South Korea also declared an alert of its own. In the wake of continued concern over the North Korean nuclear program, the US and South Korea began conducting joint exercises. North Korea threatened in March 1993 to withdraw from the nuclear non-proliferation treaty and ban inspections of its nuclear facilities. As a result, the US-ROK exercises, which were cancelled in the previous year, were conducted in 1993. In response, North Korea placed its forces on alert, declaring a ""semi-war footing."" South Korea also declared an alert of its own."
