DispNum3,DispNum4,Story
4345,10201,"Beginning on January 6, 2002, Ethiopian military forces occupied much of the Puntland region in support of the insurgent Abdullahi Yusuf against the Somali TNC.  During the occupation, the Ethiopian military assaulted the town of Guriceel, in the Galgaduud Region, and confiscated weapons from civilians in the town.  It is likely that similar unreported incidents occurred in other towns as well. On March 3, Ethiopian military forces, supported by armored vehicles and local Somali militants fighting against the Somali TNC, attacked and captured the town of Bulo Hawo in the Gedo region.  This incident was mirrored on May 15, when Ethiopian forces and Somali SRRC militia attacked and occupied the towns of Garbaharey and Bulo Hawo in the Gedo region of Somalia, clashing with Somali military units in the process. This was the highest action taken by both sides during the course of the dispute. Beginning on June 25, Ethiopian forces expanded their occupation by establishing military bases in the Somali regions of Hiraan in central Somalia and Bakool in southcentral Somalia in an effort to stop the use of Somali territory by Ethiopian opposition rebel groups.  On September 19, Ethiopian troops crossed the border with Somalia and abducted 12 village elders from the village of Geri-Jur in the Galgudud region, as well as temporarily closing roads and confiscating radio equipment and weapons from the villagers. In late November, Ethiopian military forces briefly entered Somali territory and seized 16 guns from local Somali pastoralists along the border before returning to Ethiopian territory. In late December, Ethiopia amasses hundreds of troops along its border with the Somali region of Hiiraan for the purposes of securing the border against incursion by Somali military forces and rebels. In March of 2003, Ethiopia, with the aid of U.S. helicopters, increases its vigil of its border with Somalia in an effort to stop the trafficking of contraband and terrorists into the country.  The underlying issue of the MID is one of Ethiopia's struggles with and against various rebel groups operating in Somalia, as it both operated with Somali rebels against the incumbent TNC and against rebels using Somalia as a host to attack Ethiopian territory.  Certainly, information on Ethiopia's occupation and operations in Somalia were periodically sparse; while reports provide information on various operations against villages and Somali military targets, it is unclear for how long Ethiopian troops were continuously stationed in Somali territory.  However, it is clear that multiple, large-scale operations occurred in Somali territory."
4346,10202,"After closing the border and sending troops to the border for unstated reasons, Ethiopian military forces occupied a secondary school along the Kenyan-Somali border.  Kenya sent police forces to the school and, while no hostilities took place, the Ethiopian forces eventually relinquished control of the school and returned to Ethiopia.  It remains unclear why the occupation of the Kenyan school occurred."
4347,10203,"In January 2002, Rwandan military units, backed by DRC rebels from Goma, attacked the town of Muyenyi in the Kindu province as a reprisal for fighting between Rwandan forces and Mayi Mayi rebels earlier in the year.  This would begin a long string of attacks by Rwandan military forces on towns in the DRC, mostly in the Kivu region, for various reasons, but mostly under the umbrella of locating anti-government Rwandan rebels working from DRC. In March 2002, Rwandan military forces entered and attacked the village of Moliro in eastern DRC.  DRC pulled out of peace talks with Rwanda because of the occupation. In early April 2002, Rwanda launched a military offensive, utilizing between 4,000 and 5,000 troops, in the South Kivu Province of DRC. In June 2002, Rwanda sends hundreds of troops to occupy and fight ethnic Tutsi RCD rebels in the Sud-Kivu region of the DRC. Beginning in September 2002, the periodic attacks on DRC territory became coupled with a lasting military occupation of much of the Kivu region by Rwandan military forces following the removal of Ugandan and Zimbabwean forces from the area as part of a regional truce.  Although not stated clearly, this Rwandan occupation eventually ended.  However, in October of 2002, DRC-backed militia units occupied the town of Bugarama near the Rwandan border.  This prompted the Rwandan military to send thousands of troops and armored units back into DRC territory to reoccupy the town. The conflict seemingly lay dormant for the rest of 2002, but in March 2003 Rwandan accused Uganda of forming alliances with “genocidal” rebel groups in the DRC with the intent of attacking Rwanda.  To that end, they threatened to send troops back into the DRC and occupy territory there with the intention of fighting such alliances, and amassed troops along the border with the DRC.  This threat ultimately resulted in a new occupation of DRC territory, specifically the Kivu region, by Rwandan military units.  Rwanda sent thousands of troops back to DRC and occupied much of eastern DRC, attacking and occupying the towns of Bingi, Butembo, Beni, Lubero, and Kanyabayonga.  The DRC government protested the occupation of DRC territory by Rwandan military units."
4348,10204,"The military of Sierra Leone sent additional military units to its border with Liberia to prevent what it believed was Liberian support of militants in Sierra Leone and incursions by Liberian military units into Sierra Leone. Additionally, Sierra Leone captured about 50 Liberian soldiers in June 2002 that had entered Sierra Leone in an effort to raid villages close to the border for food and supplies."
4349,10205,"The Sudanese military in March 2002 mobilized additional troops at its border with Eritrea to prevent any incursion into the state by SPLA rebels acting from bases in Eritrea.  This was followed in April 2002 when Sudan places its border forces and general populace on alert after reports of SPLA rebels infiltrating the country from Eritrea. In October 2002, the dispute escalated, as the Sudanese government accused the Eritrean military of fighting alongside and supporting the SPLA during a military offensive beginning on October 5, leading to clashes between the two countries.  On October 13, Sudan took several Eritrean soldiers prisoner after a clash. Sudanese and Eritrean military forces clashed again on October 18, near the countries’ shared border after Eritrean soldiers entered Sudanese territory. The news report states that the Eritrean soldiers were repelled by Sudanese forces.  The last available incident was when, on October 21, the Sudanese internal security forces arrested several Eritreans, including two Eritrean diplomats, in Khartoum."
4351,10207,"After extending operations against the Casamance rebels to the border with Gambia, Senegal deployed additional military forces along the Gambian border to prevent Casamance rebels entering Senegal from bases in Gambia."
4353,10209,Tanzania tightens security along its border with Burundi after Burundi accused the country of backing Burundian rebels and allowing them to operate from Tanzania.
4352,10208,"On July 11, 2002, Moroccan military forces occupied the North African island of Ceuta, which is controlled by Spain, but nominally claimed by Morocco, under the auspices of combating drug trafficking in the region.  This prompted Spain, on July 16, to send a naval warship to the waters off of the island’s coast as a show of dominance over the island. Additionally, Spain sent additional naval and marine forces to the island of Ceuta in August 2002.  The marine forces expelled Moroccan troops stationed on the island, then left.  Both sides agreed not to reoccupy the island, and agreed to talks over the fate of the island in September."
4354,10210,"During the last week of August, 2002, the United Kingdom stated that it may militarily intervene in Zimbabwe to protect the interests of white land-owning farmers during a contested Zimbabwean land reform program.  Zimbabwe responded by stating that any intervention in Zimbabwe would be met with military reciprocation.  No such intervention ever occurred."
4355,10211,"On September 2, 2002, Ethiopian soldiers crossed over the border with Eritrea in the Shambeko sub-zone and stole 170 cattle, which was protested by the Eritrean government."
4357,10213,Angolan military forces raid several villages in the DRC along the border with the Cabinda province of Angola in search of Cabindan separatists.
4359,10215,Libyan military forces occupy the airport of Zombo in the DRC for the purposes of moving tanks and military supplies to Ugandan-backed rebels in the region.
4358,10214,"Liberia increases its border security to prevent rebels from the Ivory Coast from entering the country and to prevent Liberians from entering the Ivory Coast to participate in the civil war there. In January 2003, a clash occurred near the Ivorian town of Toulepleu between the Ivorian military and a combination of Ivorian rebels supported by soldiers from the Liberian army."
4350,10206,"On June 30, 2002, Ugandan soldiers crossed into neighboring Kenya and looted several head of cattle.  Later, on July 1, a group of Ugandan soldiers crossed the border into the Kenyan town of Amaguriat.  While in the town, the soldiers entered into a firefight with local Kenyan police, in which one of the Ugandan soldiers was killed before they retreated."
4356,10212,"Following the incidents of MID 10203, Rwanda engaged in a series of occupations of DRC territory in violation of the July 31, 2002 peace agreement.  These occupations occurred due to what Rwanda claimed were the formation of alliances between Ugandan military forces and anti- Rwandan rebels based in DRC.  It remains largely unclear for how long the occupations of DRC territory occurred."
4360,10301,"Sudan impounded a Russian helicopter and its 13 member crew on July 24, 2003 as it flew over Sudanese territory en route to a UN mission in the DRC. The crew and helicopter was released on July 29, 2003."
4361,10302,Algerian planes briefly violated Malian airspace before returning to Algeria.
4362,10303,"Ethiopian and Eritrean military forces clashed near the Eritrean village of Fawlina, in the demilitarized zone between the two countries.  It is unclear why the clash erupted. On November 27, 2003, Eritrea began amassing thousands of troops along its border with Ethiopia, near the demilitarized zone between the two countries."
4363,10304,"On November 1, 2003, 40 Ethiopian soldiers crossed the border with Kenya and attacked the village of Anan.  The reason for the attack is unknown."
4364,10305,Malian military forces went on heightened alert and began a security sweep of the region bordering Mauritania after the government received reports of Islamic rebels crossing the border into Mali from Mauritania.
4365,10401,"Rwanda deployed additional troops to its border with Burundi to prevent Interahamwe rebels, based mostly in DRC and with whom Rwanda has clashed previously (see MID 10203 and 10212), from entering and attacking Rwanda through Burundi’s largely lawless Cibitoke province."
4366,10402,"On April 24, 2004, Rwanda escalated action by invading the DRC Kivu region with the additional military forces and attacking the DRC towns of Masisi and Rutshuru while looking for Interahamwe rebels and occupying the territory. During the course of this occupation, Rwanda also continued to fortify its border with the DRC with thousands of additional troops. In August 2004, the fighting in DRC spilled over into neighboring Burundi, when Hutu extremist rebels, reportedly with the aid of Congolese military units, attacked a Tutsi refugee camp, killing 160 people.  In response, both Rwanda and Burundi threatened to send troops into DRC territory to attack rebel bases in eastern Congo.  At about the same time, the Burundian government accused soldiers from the DRC of firing their automatic weapons across the border at the Burundian military checkpoint at Gatumba. The dispute seemed mostly dormant until the end of November 2004, when Rwanda sent troops into DRC to attack and occupy the rebel-held villages of Goma, Beni, and Ikobo in eastern Congo.  This prompted the DRC government to place its military forces on heightened alert for possible clashes with Rwandan military units."
4367,10403,"On April 29, 2004, Janjaweed militia forces from Sudan crossed into Chad and attacked a village, raiding cattle.  As they were retreating to Sudanese territory, Chadian military forces caught them and engaged in a firefight with the group.  At that time, Sudanese military forces crossed over into Chadian territory and entered into the clash, giving the Janjaweed fighters time to retreat into Sudanese territory. Following several more incursions into Chadian territory by Janjaweed fighters from Sudan, France deployed 200 soldiers already stationed in Chad to the border between the two countries to help protect the territorial integrity of Chad."
4368,10404,"Following the occupation of the DRC town of Bukavu by rebels, Zambia prepared to accept refugees from war-torn eastern DRC.  At the same time, the Zambian military was placed on heightened alert to monitor border towns against insurgents and a spillover of the conflict between the belligerents of MID 10402."
4369,10405,"In July 2004, 8 Kenyans were killed by Ethiopian militiamen who had crossed over to raid Kenyan territory.  In response, Kenya increased their border security to discourage further attacks from Ethiopian territory.  In January 2005, another attack took place on Kenyan territory, as 20 armed Ethiopian soldiers crossed the border and attacked the village of Moyale in northern Kenya, killing a police officer.  Again, in March 2005, several “armed raiders” crossed into Kenyan territory, killing a police officer and wounding four others.  This event prompted the Kenyan military to again increase its border security."
4371,10407,"On November 6, 2004, Ivory Coast war planes bombed French military units at an airport in Ivory Coast.  The French military units were in Ivory Coast acting as peacekeepers between Ivorian government and rebel factions. Following the attack, Ivorian ground units exchanged fire with French units before retreating.  In response to the two attacks, the French forces on the ground destroyed 2 Ivorian fighter jets at the airport, and France sent three fighter jets to the Gabonese capital Libreville in case of further attacks."
4370,10406,"Eritrea sends 400 additional troops to its border with Sudan, bringing the total number of Eritrean troops in the area to 5,900."
4372,10408,"Uganda fortified its border with Rwanda to prevent Rwadan troops, operating in DRC against anti-Rwandan rebels, from moving through Ugandan territory.  A few days later, Ugandan and Rwandan troops clashed in Uganda."
4373,10501,"Following the attack on a Kenyan border village by militiamen from Somalia, Kenya deployed an additional army unit to the border between the two countries.  Additionally, Kenya again fortified its border with Somalia in March 2005 with additional armored vehicles and helicopters to prevent the spread of Somali tribal conflict into Kenya."
4375,10503,"During much of 2005, both Ethiopia and Eritrea have consistently increased their military presence along the disputed border separating the two countries."
4376,10504,"Although the underlying reasons are unclear, hundreds of Ethiopian troops are sent to the Ethiopian-Somalia border near the towns of Gaalkacyo and Goldogob.  It is possible that the underlying issue is the continuing presence of anti-Ethiopian rebels in the region (see MID 10201)."
4377,10505,"After receiving complaints from residents of the Western DRC town of Luiza that Angolan helicopters have been flying over DRC airspace and that Angolan boats are active in DRC territorial waters along the Kasai river, the DRC threatens to send military units to the region to discourage such incursions."
4378,10506,"On April 26, 2005, Togolese soldiers fired across the border at a Ghanaian residence, injuring three people."
4379,10507,An Eritrean soldier attacks and kills a Yemeni fisherman in Eritrean territorial waters.
4380,10508,"Nigerian and Cameroonian military forces clashed on the disputed Bakassi Peninsula, killing 1 Cameroon soldier."
4382,10510,"Following the events of MID 10407, France declared that any provocations against its forces in CDI by Ivorian forces would be met with force.  A short time later, France also deployed nine additional tanks to the country as part of its peace-keeping operation."
4384,10512,"In November 2004, Sudan accused Chad of conducting military flights over Sudanese border territory.  In December 2004, Chadian military units pursued Sudanese rebels into Sudanese territory following a raid on a Chadian village by the rebels.  Chad also declared that it would continue a policy of pursuing Sudanese rebels on Sudanese territory to protect its villages.  In January 2006, the Sudanese government iterated its claim that Chadian military planes were regularly flying over Sudanese territory. Finally, in February 2006, a Sudanese village came under artillery fire from Chadian territory.  This artillery shelling was followed by a ground assault on the village by Chadian troops.  The Chadian forces clashed with Sudanese military units and were eventually repelled from Sudanese territory."
4383,10511,"In a continuation of the events of MID 10504, both Ethiopia and Eritrea continue to send additional troops to the demilitarized zone between the respective countries."
4374,10502,"In January 2005, an attack took place on Kenyan territory, as 20 armed Ethiopian soldiers crossed the border and attacked the village of Moyale in northern Kenya, killing a police officer.  A few months later, Kenya deployed additional troops to the Kenya-Ethiopia border to prevent such cross-border attacks."
